date,transaction_type,category,amount
2021-01-09,expense,Cash_out,147161.05
2021-01-09,expense,Cash_out,16701.46
2021-01-09,expense,Cash_out,197705.53
2021-01-09,expense,Payment,13017.15
2021-01-09,expense,Debit,2219.9
2021-01-09,expense,Cash_out,363463.78
2021-01-09,expense,Payment,4266.23
2021-01-09,income,Cash_in,217344.07
2021-01-09,expense,Cash_out,158572.43
2021-01-09,expense,Cash_out,343184.51
2021-01-09,income,Cash_in,208205.15
2021-01-09,expense,Payment,19446.18
2021-01-09,expense,Payment,11088.48
2021-01-09,expense,Transfer,1998513.93
2021-01-09,expense,Payment,28168.44
2021-01-09,expense,Transfer,1399715.83
2021-01-09,income,Cash_in,23715.1
2021-01-09,expense,Payment,6159.0
2021-01-09,income,Cash_in,244549.05
2021-01-09,expense,Cash_out,121499.53
2021-01-09,income,Cash_in,61904.9
2021-01-09,expense,Payment,18171.69
2021-01-09,expense,Payment,11161.57
2021-01-09,expense,Payment,11009.16
2021-01-09,expense,Payment,3232.35
2021-01-09,expense,Payment,38205.04
2021-01-09,expense,Payment,6751.22
2021-01-09,expense,Cash_out,58153.93
2021-01-09,expense,Cash_out,267669.76
2021-01-09,expense,Payment,26098.45
2021-01-09,expense,Cash_out,18897.67
2021-01-09,expense,Cash_out,515723.98
2021-01-09,expense,Cash_out,169430.44
2021-01-09,income,Cash_in,186947.32
2021-01-09,expense,Cash_out,81220.71
2021-01-09,income,Cash_in,84411.85
2021-01-09,expense,Cash_out,342524.88
2021-01-09,income,Cash_in,100491.72
2021-01-09,expense,Debit,5867.09
2021-01-09,expense,Cash_out,263959.99
2021-01-09,income,Cash_in,301095.37
2021-01-09,expense,Payment,2928.75
2021-01-09,expense,Payment,13663.23
2021-01-09,expense,Cash_out,5022.33
2021-01-09,expense,Payment,17569.44
2021-01-09,expense,Payment,22732.68
2021-01-09,expense,Cash_out,185139.88
2021-01-09,expense,Payment,12150.09
2021-01-09,expense,Transfer,1343662.99
2021-01-09,expense,Transfer,1243680.09
2021-01-09,expense,Transfer,818220.1
2021-01-09,expense,Payment,8466.27
2021-01-09,income,Cash_in,223536.21
2021-01-09,expense,Cash_out,264604.15
2021-01-09,expense,Transfer,1526366.05
2021-01-09,expense,Payment,10104.32
2021-01-09,expense,Transfer,210532.58
2021-01-09,expense,Cash_out,215953.09
2021-01-09,expense,Transfer,312085.34
2021-01-09,expense,Transfer,2694402.67
2021-01-09,expense,Transfer,525337.06
2021-01-09,expense,Cash_out,34610.34
2021-01-09,expense,Payment,9273.19
2021-01-09,expense,Transfer,3221431.51
2021-01-09,expense,Cash_out,100515.65
2021-01-09,expense,Payment,18088.52
2021-01-09,expense,Payment,13912.89
2021-01-09,income,Cash_in,64159.52
2021-01-09,expense,Payment,18351.12
2021-01-09,expense,Cash_out,79152.19
2021-01-09,income,Cash_in,254329.54
2021-01-09,expense,Cash_out,115941.29
2021-01-09,expense,Payment,20074.51
2021-01-09,income,Cash_in,429012.93
2021-01-09,expense,Payment,1288.12
2021-01-09,expense,Payment,21366.69
2021-01-09,expense,Cash_out,222293.2
2021-01-09,expense,Cash_out,558558.59
2021-01-09,expense,Payment,13413.52
2021-01-09,expense,Payment,23656.02
2021-01-09,expense,Payment,12344.7
2021-01-09,expense,Payment,19976.71
2021-01-09,expense,Payment,2031.73
2021-01-09,expense,Payment,22066.7
2021-01-09,expense,Payment,10337.12
2021-01-09,expense,Transfer,95093.07
2021-01-09,expense,Cash_out,129299.63
2021-01-09,expense,Payment,30229.95
2021-01-09,expense,Cash_out,134789.55
2021-01-09,expense,Payment,6471.65
2021-01-09,expense,Payment,19623.33
2021-01-09,expense,Payment,7718.46
2021-01-09,expense,Payment,16480.59
2021-01-09,expense,Payment,22168.58
2021-01-09,expense,Payment,27313.23
2021-01-09,expense,Payment,6156.43
2021-01-09,expense,Payment,2502.4
2021-01-09,expense,Payment,2682.02
2021-01-09,expense,Payment,10075.11
2021-01-09,expense,Payment,1182.13
2021-01-09,expense,Payment,19448.53
2021-01-09,expense,Payment,15701.28
2021-01-09,expense,Payment,6835.58
2021-01-09,expense,Payment,212.72
2021-01-09,expense,Payment,14866.15
2021-01-09,expense,Payment,4043.03
2021-01-09,expense,Payment,886.42
2021-01-09,expense,Payment,7642.9
2021-01-09,expense,Payment,19763.24
2021-01-09,expense,Cash_out,147785.67
2021-01-09,expense,Cash_out,180379.83
2021-01-09,expense,Cash_out,398578.35
2021-01-09,expense,Debit,5142.64
2021-01-09,expense,Payment,45875.65
2021-01-09,expense,Payment,16795.84
2021-01-09,expense,Payment,19737.4
2021-01-09,expense,Payment,6811.54
2021-01-09,income,Cash_in,20870.55
2021-01-09,income,Cash_in,168110.98
2021-01-09,expense,Payment,5614.59
2021-01-09,expense,Payment,7793.93
2021-01-09,expense,Payment,30316.24
2021-01-09,income,Cash_in,4898.45
2021-01-09,income,Cash_in,365027.52
2021-01-09,income,Cash_in,41192.63
2021-01-09,expense,Debit,1852.67
2021-01-09,expense,Payment,23000.1
2021-01-09,expense,Cash_out,389587.5
2021-01-09,expense,Transfer,1169737.59
2021-01-09,expense,Cash_out,435291.14
2021-01-09,expense,Transfer,844072.41
2021-01-09,expense,Transfer,1097048.04
2021-01-09,expense,Cash_out,45763.72
2021-01-09,expense,Cash_out,27040.58
2021-01-09,expense,Cash_out,295036.85
2021-01-09,expense,Cash_out,533948.96
2021-01-09,expense,Cash_out,286210.41
2021-01-09,expense,Cash_out,154334.72
2021-01-09,expense,Cash_out,215805.25
2021-01-09,expense,Cash_out,261299.47
2021-01-09,expense,Cash_out,258614.39
2021-01-09,expense,Cash_out,76824.23
2021-01-09,expense,Cash_out,79003.05
2021-01-09,expense,Cash_out,40842.79
2021-01-09,expense,Cash_out,341144.2
2021-01-09,expense,Cash_out,190248.87
2021-01-09,expense,Cash_out,99522.97
2021-01-09,expense,Cash_out,251573.18
2021-01-09,expense,Cash_out,255988.73
2021-01-09,expense,Cash_out,136503.61
2021-01-09,expense,Cash_out,408663.78
2021-01-09,income,Cash_in,166060.65
2021-01-09,expense,Payment,38426.91
2021-01-09,expense,Cash_out,131054.31
2021-01-09,expense,Cash_out,201749.19
2021-01-09,expense,Cash_out,433934.1
2021-01-09,expense,Cash_out,128522.52
2021-01-09,expense,Cash_out,322873.33
2021-01-09,expense,Cash_out,321047.73
2021-01-09,expense,Cash_out,208533.19
2021-01-09,expense,Cash_out,175500.93
2021-01-09,expense,Cash_out,1911.74
2021-01-09,expense,Cash_out,189524.09
2021-01-09,expense,Cash_out,276085.44
2021-01-09,expense,Cash_out,458528.41
2021-01-09,expense,Cash_out,109718.87
2021-01-09,expense,Cash_out,185500.79
2021-01-09,expense,Cash_out,42444.99
2021-01-09,expense,Cash_out,127029.69
2021-01-09,expense,Cash_out,197606.01
2021-01-09,expense,Cash_out,339995.34
2021-01-09,expense,Cash_out,24333.0
2021-01-09,expense,Cash_out,13437.15
2021-01-09,expense,Cash_out,12560.27
2021-01-09,expense,Cash_out,78257.31
2021-01-09,expense,Cash_out,324316.62
2021-01-09,expense,Cash_out,26573.88
2021-01-09,expense,Cash_out,127238.28
2021-01-09,expense,Cash_out,275204.06
2021-01-09,expense,Cash_out,199229.48
2021-01-09,expense,Cash_out,209323.93
2021-01-09,expense,Cash_out,182403.45
2021-01-09,expense,Cash_out,270514.4
2021-01-09,expense,Cash_out,151115.59
2021-01-09,expense,Cash_out,154187.3
2021-01-09,expense,Cash_out,151639.98
2021-01-09,expense,Cash_out,275242.3
2021-01-09,expense,Cash_out,239390.8
2021-01-09,expense,Cash_out,176398.63
2021-01-09,expense,Cash_out,149919.21
2021-01-09,expense,Cash_out,41535.08
2021-01-09,expense,Cash_out,166067.81
2021-01-09,expense,Cash_out,42639.23
2021-01-09,expense,Cash_out,23359.06
2021-01-09,expense,Cash_out,51211.52
2021-01-09,expense,Cash_out,162816.57
2021-01-09,expense,Cash_out,146168.44
2021-01-09,expense,Cash_out,249122.83
2021-01-09,expense,Cash_out,119208.01
2021-01-09,expense,Cash_out,220960.65
2021-01-09,expense,Cash_out,103197.41
2021-01-09,expense,Cash_out,35079.69
2021-01-09,expense,Cash_out,152175.97
