date,transaction_type,category,amount
2021-01-10,expense,Cash_out,53667.53
2021-01-10,expense,Cash_out,42994.05
2021-01-10,expense,Cash_out,280472.17
2021-01-10,expense,Cash_out,271987.81
2021-01-10,expense,Cash_out,196900.16
2021-01-10,expense,Cash_out,186545.46
2021-01-10,expense,Cash_out,314138.76
2021-01-10,expense,Cash_out,18755.57
2021-01-10,expense,Cash_out,736209.93
2021-01-10,expense,Cash_out,140677.11
2021-01-10,expense,Cash_out,86351.78
2021-01-10,expense,Cash_out,135815.02
2021-01-10,expense,Cash_out,732948.42
2021-01-10,expense,Cash_out,344273.45
2021-01-10,expense,Cash_out,43688.62
2021-01-10,expense,Cash_out,156934.78
2021-01-10,expense,Cash_out,301894.16
2021-01-10,expense,Cash_out,219605.52
2021-01-10,expense,Cash_out,169396.48
2021-01-10,expense,Cash_out,76114.0
2021-01-10,expense,Payment,405.66
2021-01-10,expense,Payment,6882.88
2021-01-10,expense,Cash_out,26961.72
2021-01-10,expense,Payment,7018.23
2021-01-10,expense,Cash_out,223784.1
2021-01-10,income,Cash_in,287174.62
2021-01-10,income,Cash_in,475053.44
2021-01-10,income,Cash_in,43189.09
2021-01-10,expense,Cash_out,89232.95
2021-01-10,income,Cash_in,40235.85
2021-01-10,expense,Payment,6622.56
2021-01-10,income,Cash_in,245614.04
2021-01-10,expense,Cash_out,177499.09
2021-01-10,expense,Payment,6797.6
2021-01-10,expense,Payment,2250.29
2021-01-10,income,Cash_in,24119.27
2021-01-10,expense,Transfer,734773.85
2021-01-10,expense,Payment,25552.81
2021-01-10,expense,Payment,9777.28
2021-01-10,income,Cash_in,110830.61
2021-01-10,income,Cash_in,389664.46
2021-01-10,expense,Payment,611.12
2021-01-10,income,Cash_in,8892.08
2021-01-10,expense,Payment,4043.03
2021-01-10,expense,Payment,6270.64
2021-01-10,income,Cash_in,251388.09
2021-01-10,expense,Cash_out,178359.61
2021-01-10,expense,Payment,3048.6
2021-01-10,expense,Payment,6695.52
2021-01-10,expense,Cash_out,389298.27
2021-01-10,income,Cash_in,276272.57
2021-01-10,expense,Cash_out,231232.91
2021-01-10,income,Cash_in,199229.23
2021-01-10,expense,Payment,15097.75
2021-01-10,expense,Payment,1782.75
2021-01-10,expense,Payment,8035.14
2021-01-10,income,Cash_in,258781.83
2021-01-10,income,Cash_in,453313.6
2021-01-10,expense,Cash_out,723.79
2021-01-10,expense,Payment,11454.64
2021-01-10,expense,Payment,1037.96
2021-01-10,income,Cash_in,528106.58
2021-01-10,income,Cash_in,286056.65
2021-01-10,expense,Cash_out,506397.77
2021-01-10,expense,Cash_out,17468.75
2021-01-10,income,Cash_in,229353.84
2021-01-10,expense,Payment,9247.49
2021-01-10,income,Cash_in,193401.68
2021-01-10,expense,Payment,12766.98
2021-01-10,expense,Payment,2630.41
2021-01-10,expense,Transfer,2820925.21
2021-01-10,expense,Cash_out,38261.32
2021-01-10,expense,Transfer,547841.58
2021-01-10,expense,Payment,406.97
2021-01-10,expense,Cash_out,80457.01
2021-01-10,expense,Cash_out,149717.32
2021-01-10,expense,Transfer,2143920.44
2021-01-10,expense,Cash_out,86662.4
2021-01-10,income,Cash_in,154700.08
2021-01-10,expense,Cash_out,165636.76
2021-01-10,expense,Payment,7722.32
2021-01-10,expense,Cash_out,205577.91
2021-01-10,expense,Payment,21149.3
2021-01-10,income,Cash_in,335979.22
2021-01-10,expense,Transfer,2156093.33
2021-01-10,expense,Cash_out,80303.45
2021-01-10,expense,Cash_out,111416.49
2021-01-10,expense,Payment,57031.17
2021-01-10,expense,Payment,12510.53
2021-01-10,expense,Payment,0.32
2021-01-10,expense,Payment,4029.63
2021-01-10,expense,Payment,11193.1
2021-01-10,expense,Payment,20122.57
2021-01-10,expense,Payment,41115.77
2021-01-10,expense,Payment,9591.29
2021-01-10,expense,Payment,8045.93
2021-01-10,expense,Payment,3471.09
2021-01-10,expense,Payment,6686.38
2021-01-10,expense,Payment,2788.98
2021-01-10,expense,Payment,13723.51
2021-01-10,expense,Payment,17859.96
2021-01-10,expense,Payment,14751.81
2021-01-10,expense,Payment,4268.06
2021-01-10,expense,Payment,3820.12
2021-01-10,expense,Payment,2310.32
2021-01-10,expense,Payment,9462.62
2021-01-10,expense,Payment,32057.82
2021-01-10,expense,Payment,7131.37
2021-01-10,expense,Payment,708.32
2021-01-10,expense,Payment,29518.61
2021-01-10,expense,Payment,18860.31
2021-01-10,expense,Payment,4985.22
2021-01-10,expense,Payment,27688.66
2021-01-10,expense,Transfer,1902395.76
2021-01-10,expense,Cash_out,268756.67
2021-01-10,expense,Payment,2362.65
2021-01-10,expense,Cash_out,120934.4
2021-01-10,income,Cash_in,25589.44
2021-01-10,expense,Payment,6571.31
2021-01-10,expense,Payment,8659.63
2021-01-10,expense,Payment,20158.88
2021-01-10,expense,Payment,7895.07
2021-01-10,expense,Payment,18573.83
2021-01-10,expense,Payment,24515.42
2021-01-10,expense,Payment,7691.93
2021-01-10,expense,Payment,11397.84
2021-01-10,expense,Payment,16571.25
2021-01-10,expense,Payment,3001.66
2021-01-10,expense,Payment,5809.15
2021-01-10,expense,Payment,2688.75
2021-01-10,expense,Payment,6925.69
2021-01-10,expense,Payment,2680.06
2021-01-10,expense,Payment,11688.96
2021-01-10,expense,Payment,3928.9
2021-01-10,expense,Payment,1440.99
2021-01-10,expense,Payment,8492.6
2021-01-10,expense,Payment,12889.91
2021-01-10,expense,Payment,3892.51
2021-01-10,expense,Payment,22731.88
2021-01-10,expense,Cash_out,316653.73
2021-01-10,income,Cash_in,194088.24
2021-01-10,expense,Cash_out,327232.72
2021-01-10,expense,Cash_out,341457.57
2021-01-10,income,Cash_in,45925.95
2021-01-10,expense,Cash_out,380037.71
2021-01-10,expense,Transfer,2408688.45
2021-01-10,expense,Payment,24890.92
2021-01-10,expense,Payment,22937.46
2021-01-10,expense,Cash_out,115180.53
2021-01-10,income,Cash_in,356380.68
2021-01-10,expense,Cash_out,10721.5
2021-01-10,expense,Cash_out,450873.48
2021-01-10,expense,Cash_out,224190.63
2021-01-10,expense,Payment,429.27
2021-01-10,expense,Cash_out,146621.83
2021-01-10,expense,Cash_out,26619.29
2021-01-10,expense,Payment,4671.21
2021-01-10,expense,Payment,37663.34
2021-01-10,income,Cash_in,96790.99
2021-01-10,expense,Payment,1055.16
2021-01-10,income,Cash_in,256984.22
2021-01-10,expense,Cash_out,429179.94
2021-01-10,expense,Cash_out,323268.87
2021-01-10,expense,Cash_out,326008.26
2021-01-10,expense,Cash_out,20833.28
2021-01-10,expense,Cash_out,572180.06
2021-01-10,expense,Cash_out,163221.25
2021-01-10,expense,Cash_out,186184.77
2021-01-10,expense,Cash_out,187804.42
2021-01-10,expense,Cash_out,189135.74
2021-01-10,expense,Cash_out,179093.99
2021-01-10,expense,Cash_out,75067.48
2021-01-10,expense,Cash_out,111412.15
2021-01-10,expense,Cash_out,31626.67
2021-01-10,expense,Cash_out,6207.25
2021-01-10,expense,Cash_out,86883.9
2021-01-10,expense,Cash_out,31894.85
2021-01-10,expense,Cash_out,111099.12
2021-01-10,expense,Cash_out,303230.14
2021-01-10,expense,Cash_out,303290.65
2021-01-10,expense,Cash_out,143833.0
2021-01-10,income,Cash_in,450693.84
2021-01-10,expense,Payment,4041.25
2021-01-10,expense,Cash_out,90247.86
2021-01-10,expense,Cash_out,448342.51
2021-01-10,expense,Cash_out,423870.9
2021-01-10,expense,Payment,30437.21
2021-01-10,expense,Payment,29629.26
2021-01-10,expense,Transfer,443121.71
2021-01-10,expense,Payment,5825.43
2021-01-10,expense,Cash_out,318930.32
2021-01-10,income,Cash_in,184729.97
2021-01-10,expense,Payment,7269.92
2021-01-10,expense,Payment,28553.01
2021-01-10,expense,Cash_out,331997.52
2021-01-10,expense,Payment,4150.15
2021-01-10,expense,Payment,26961.91
2021-01-10,expense,Payment,9585.01
2021-01-10,expense,Payment,12647.16
2021-01-10,expense,Payment,2107.03
2021-01-10,expense,Payment,11657.5
2021-01-10,expense,Payment,4748.12
2021-01-10,expense,Payment,3914.6
2021-01-10,expense,Payment,4554.05
2021-01-10,expense,Payment,955.52
2021-01-10,expense,Payment,1121.5
2021-01-10,expense,Payment,8784.51
2021-01-10,expense,Payment,6550.73
2021-01-10,expense,Payment,9432.81
2021-01-10,expense,Payment,38.92
2021-01-10,expense,Payment,915.43
2021-01-10,expense,Cash_out,296819.6
2021-01-10,expense,Payment,14459.73
2021-01-10,expense,Payment,6081.57
2021-01-10,expense,Payment,18596.36
2021-01-10,expense,Payment,24413.49
2021-01-10,expense,Payment,10936.57
2021-01-10,expense,Cash_out,176688.08
2021-01-10,expense,Payment,834.64
2021-01-10,expense,Payment,4440.06
2021-01-10,expense,Payment,7947.83
2021-01-10,expense,Payment,822.46
2021-01-10,expense,Payment,2522.13
2021-01-10,expense,Cash_out,44673.22
2021-01-10,expense,Transfer,1409807.88
2021-01-10,expense,Cash_out,251774.15
2021-01-10,expense,Cash_out,17319.73
2021-01-10,expense,Cash_out,119066.57
2021-01-10,expense,Cash_out,35421.94
2021-01-10,expense,Cash_out,19795.99
2021-01-10,income,Cash_in,7042.21
2021-01-10,income,Cash_in,361489.82
2021-01-10,expense,Cash_out,479654.76
2021-01-10,expense,Cash_out,50532.1
2021-01-10,expense,Payment,10970.38
2021-01-10,expense,Cash_out,379471.01
2021-01-10,expense,Payment,13637.23
2021-01-10,expense,Payment,6721.62
2021-01-10,expense,Cash_out,44135.5
2021-01-10,income,Cash_in,94993.58
2021-01-10,expense,Cash_out,35278.81
2021-01-10,expense,Payment,2695.88
2021-01-10,expense,Payment,24633.77
